Substrate,ECNumber,Organism_ID_sabio,kcat,original_index
(+)-anti-BPDE,2.5.1.18,9606,0.05,0
(-)-Camphor,1.14.14.1,9606,0.08166667,1
(-)-Jasmonic acid,2.1.1.141,3702,70,2
(-)-Jasmonic acid,6.3.2.52,3702,0.07333333,3
(-)-Ureidoglycolate,3.5.1.116,39947,55,4
(-)-anti-BPDE,2.5.1.18,9606,0.021,5
(1R)-(-)-Camphorquinone,1.1.1.209,10090,1.1,6
(1R)-(-)-Camphorquinone,1.1.1.51,10116,1.3,7
(1R)-(-)-Camphorquinone,1.1.1.62,10116,1.646667,8
"(1R,4S)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,4.9,9
"(1R,4S)-Menthone",1.14.13.105,1833,3.6,10
(1S)-(+)-Camphorquinone,1.1.1.209,10090,1.15,11
(1S)-(+)-Camphorquinone,1.1.1.51,10116,1.883333,12
(1S)-(+)-Camphorquinone,1.1.1.62,10116,0.2,13
"(1S,4R)-1-Hydroxy-2-oxolimonene",1.14.13.105,1833,3.9,14
(24S)-Hydroxycholesterol 24-sulfate,2.8.2.2,9606,40.16667,15
(24S)-Hydroxycholesterol 3-sulfate,2.8.2.2,9606,1.883333,16
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,303,150,17
"(2E)-2-Hydroxypenta-2,4-dienoic acid",5.3.2.6,395495,2,18
"(2E,5Z)-Octadienoyl-CoA",5.3.3.8,10116,45,19
"(2E,5Z)-Tetradecadienoyl-CoA",5.3.3.8,10116,15,20
(2RS)-4-Arsono-2-hydroxybutanoate,2.7.2.3,559292,0.12,21
(3-Indolyl)-glycerol phosphate,4.1.2.8,4577,2.8,22
(3-Indolyl)-glycerol phosphate,4.2.1.20,83333,6.64,23
(3-Indolyl)-glycerol phosphate,4.2.1.20,243274,5.6,24
"(3R,4R)-7,2'-Dihydroxy-4'-methoxyisoflavanol",4.2.1.139,46348,590,25
(4R)-Dihydrocarvone,1.14.13.105,1833,3.9,26
"(6E,10E)-Geranyllinalool",1.14.14.58,3702,0.11,27
"(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate",1.13.11.45,36779,9.1,28
(Alginate)n,4.2.2.26,522373,34.8,29
(E)-2-Methylgeranyl diphosphate,4.2.3.118,100226,0.039,30
"(R)-2,3-Dihydroxy-3-methylbutanoate",1.1.1.86,83333,0.51,31
(R)-2-Butanol,1.1.1.1,9544,1.9,32
(R)-2-Hydroxyglutarate,1.1.1.399,83333,0.71,33
(R)-2-Hydroxyglutarate,1.1.1.42,83333,0.000724,34
(R)-2-Hydroxyisocaproyl-CoA,4.2.1.157,1496,160,35
(R)-2-Oxo-3-methylpentanoate,1.4.1.20,1421,7.2,36
(R)-3-Hydroxybutanoate,1.1.1.30,9606,0.01583333,37
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,9606,2.9,38
(R)-4'-Phosphopantothenoyl-L-cysteine,4.1.1.36,83333,0.8333333,39
(R)-5-Diphosphomevalonate,4.1.1.33,559292,4.9,40
(R)-Amygdalin,3.2.1.21,39947,0.44,41
(R)-Indan-1-ol,1.1.1.213,9606,0.005,42
(R)-Indan-1-ol,1.1.1.50,9606,0.2666667,43
(R)-Indan-1-ol,1.1.1.209,10090,0.45,44
(R)-Lipoic acid,1.8.1.4,9606,9.7,45
(R)-Pantothenate,2.7.1.33,69014,0.21,46
(R)-Pantothenate,2.7.1.33,83332,0.411,47
(R)-Pantothenate,2.7.1.33,83333,1.14,48
(R)-Pantothenate,2.7.1.33,85962,2.09,49
(R)-Pantothenate,2.7.1.33,93061,329,50
(R)-Pantothenate,2.7.1.33,224308,2.12,51
(R)-Pantothenate,2.7.1.33,243274,0.29,52
(R)-Prunasin,3.2.1.21,39947,1.41,53
(R)-S-Lactoylglutathione,3.1.2.6,3702,3930,54
(R)-S-Lactoylglutathione,3.1.2.6,5833,119.5833,55
(R)-S-Lactoylglutathione,3.1.2.6,9606,780,56
(R)-S-Lactoylglutathione,3.1.2.6,10090,450,57
(R)-S-Lactoylglutathione,3.1.2.6,83333,53,58
"(R,R)-Butane-2,3-diol",1.1.1.4,559292,1300,59
"(R,S)-Norcoclaurine",2.1.1.128,3469,0.08,60
"(R,S)-Norreticuline",2.1.1.115,150095,0.05,61
"(R,S)-Stylopine",2.1.1.122,3467,0.5,62
"(R,S)-Stylopine",2.1.1.122,215227,0.001,63
(S)(+)-Allantoin,3.5.2.5,3702,879,64
(S)(+)-Allantoin,3.5.2.5,83333,470,65
(S)-1-Phenylethanol,1.1.1.14,9940,0.1,66
(S)-1-Phenylethanol,1.1.1.311,76114,2,67
(S)-2-Acetolactate,1.1.1.86,83333,21,68
(S)-2-Acetolactate,1.1.1.383,583356,3.3,69
(S)-2-Butanol,1.1.1.1,9544,1.4,70
(S)-2-Hydroxyglutarate,1.1.1.399,83333,0.25,71
(S)-2-Hydroxyglutarate,1.1.3.15,83333,0.08,72
(S)-2-Methylbutanol,1.1.1.1,9544,0.89,73
(S)-2-Methylbutanoyl-CoA,1.3.99.12,4113,1.77,74
(S)-3-Hydroxyisobutyryl-CoA,3.1.2.4,10116,266,75
(S)-Ethylmalonyl-CoA,4.1.1.94,10090,10,76
(S)-Indan-1-ol,1.1.1.112,9606,0.4166667,77
(S)-Indan-1-ol,1.1.1.213,9606,0.2666667,78
(S)-Indan-1-ol,1.1.1.50,9606,0.3166667,79
(S)-Indan-1-ol,1.3.1.20,9606,0.1833333,80
(S)-Indan-1-ol,1.1.1.51,10116,0.4166667,81
(S)-Indan-1-ol,1.1.1.62,10116,0.1133333,82
(S)-Lipoic acid,1.8.1.4,9606,7.1,83
(S)-Mandelate,1.1.99.31,303,360,84
(S)-Mandelate,1.1.3.15,9606,0.11,85
"1,1-Dimethoxydecane",1.2.99.7,879,1.22,86
"1,10-Diaminodecane",1.4.9.1,266,21,87
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.213,9606,0.3,88
"1,2,3,4-Tetrahydronaphth-1-ol",1.1.1.50,9606,0.5833333,89
"1,2,3,4-Tetrahydronaphth-1-ol",1.3.1.20,9606,0.4333333,90
